respondent_id,source_file,survey_version,course_name,attendance_date,satisfaction_rating,satisfaction_label,satisfaction_comment,learning_rating,recommend_rating,instructor_rating,additional_learning,course_suggestions,general_suggestions,testimonial,marketing_channels,marketing_channel_count,race_ethnicity,hispanic_latino,gender_identity,age_group,city_residence
227465_0002,227465,B,Needle Felting,NA,5,Very satisfied,NA,3,3,5,NA,NA,NA,I've taken all the felting classes. The instructor is patient and positive. I continue to learn and improve with each class and enjoy interacting with others who attend.,"Allerton's website, Allerton's enewsletter, Allerton's Facebook page",3,White,No,Woman,65+,Monticello
227465_0004,227465,B,Flower Arranging,NA,5,Very satisfied,NA,3,3,5,"Tablescaping (and/or various techniques within it such as choosing or putting together centerpieces, folding napkins, learning different linen effects (how do they combine the tablecloth with chiffon and hold it in place to create that flowing look?) using food as decor, etc.) Bouquet Making (learning not just arrangement, but how to hold it together),",NA,"Things were a little tight. I had to double check what supplies was mine vs my neighbor's. Maybe spreading out, just a little.",Fall Flower Arranging was fantastic. I learned two very different arrangements as well as gained a plethora of knowledge that I could take with me to create my own arrangements in the future!,Allerton's website,1,White,Yes,Woman,18-34,Urbana
227465_0012,227465,B,Wines of the World,NA,5,Very satisfied,NA,3,3,5,Culinary Wines,NA,Absolutely nothing to improve on! Mike Lee is very good at keeping the attention of the class & answering all our questions.,We took the Wine Classes last year with Mike Lee and enjoyed them very much! Knew we would be attending again this year. We met two people who drive over from Decatur after work and have struck up a friendship with them. Mike does an amazing job explaining the different wines. How to look at them and taste them. Always speaks in a way everyone can understand. What a gem!,Allerton's enewsletter,1,White,No,Man,65+,Champaign
227465_0013,227465,B,Wines of the World,NA,5,Very satisfied,NA,3,3,5,"Maybe another wine course, we really enjoyed this one.",NA,"I wish it was just like 15-30 mins later. It's a little hard to get there right at six when work ends at 5. Also make the note about bringing your own snacks a bit larger, some people didn't know.","Mike was a wonderful instructor who was so great at teaching us about the idiosyncrasies of wines from France but never got stuffy about it. Affable and entertaining, we learned so much from such a short class, and we met several great people in the process. Highly recommend if you have any interest in wine.",Allerton's website,1,"Asian, Other",No,Man,35-64,Champaign
227465_0014,227465,B,Cooking Class with Leah Bodine,NA,5,Very satisfied,NA,2,3,5,Focaccia art,NA,NA,We had a great time! Looking forward to receiving the recipes from Leah,"Allerton's website, Allerton's Facebook page",2,White,No,Woman,65+,Newman
227465_0016,227465,B,Songwriting,NA,5,Very satisfied,NA,3,3,5,NA,NA,NA,"Paul's class got me in touch with creativity that has been dormant but wanting for a loooong time. He had enticing resources that called forth my muse, and hands-on exercises that kept me engaged and excited. The Allerton landscape was the perfect atmosphere to inspire and integrate the new information during and after each class. I love that the Folk School is harnessing and celebrating the unique talents of our vibrant local community.",From a friend,1,White,No,Genderfluid,35-64,Urbana
227465_0020,227465,B,Leather Workshop,NA,5,Very satisfied,NA,3,3,5,Fiber arts,NA,NA,The class was great! I learned a lot of new skills and was able to leave with two completed projects.,Allerton's Facebook page,1,White,No,Woman,35-64,Decatur
227465_0024,227465,B,Learn the Guitar,NA,5,Very satisfied,NA,3,3,5,Metalworking,NA,NA,"I've tried to learn guitar many times and this is the first time it started to ""click"" and I can see myself able to play if I keep practicing","Allerton's website, Allerton's enewsletter, Allerton's Facebook page",3,NA,NA,Man,18-34,Mt Zion
227465_0030,227465,B,Mosaic Art,NA,5,Very satisfied,NA,3,2,5,NA,NA,NA,"The small class size was ideal and very accommodating. Appreciated the fact that the instructor was pleasant, knowledgeable and readily answered questions. Had not attended a class like this before but would be comfortable in trying something again.","Allerton's website, From a friend",2,White,No,Woman,65+,Monticello
227465_0031,227465,B,Holiday Wreath Making,NA,5,Very satisfied,NA,2,3,5,"I like your offerings, nice variety!",NA,This class could have been a little longer.,The class I took at Allerton was wonderful! I learned a lot and the instructor was fantastic. It's also great to be able to meander around the gardens before or after the class. A fabulous experience in every way!!!,Allerton's enewsletter,1,White,No,Woman,35-64,Champaign
227465_0032,227465,B,Holiday Wreath Making,NA,5,Very satisfied,NA,3,3,5,Garland making,NA,Better credit card reader for the bar,A delightful date night. Thank you to the organizers!,U of I's eweek,1,White,No,Woman,35-64,Urbana
227465_0041,227465,B,Cookie Decorating,NA,3,Neutral,NA,2,2,3,Charcuterie board food making,NA,"I was very disappointed with the instructor! There were 4 tables of students - I felt like the first table nearest were the instructor stood ""got all the attention"" [because they were talkative and asked lots of questions]. It would have been good for each table to have a picture of the faces that we were to complete. It was hard to remember the demonstration and then have to do it on our own.",The instructor did give some good baking/icing tips.,Allerton's enewsletter,1,White,No,Woman,35-64,Decatur
227465_0051,227465,B,Barn Quilt Painting,NA,5,Very satisfied,NA,3,3,5,NA,NA,NA,"I took the barn quilt painting class with my Mom and sisters. Our instructor Jane was welcoming, kind and funny. Her passion for barn quilt painting was infectious. We had a great time learning to paint barn quilts together.",From a friend,1,White,No,Woman,35-64,Mahomet
227465_0054,227465,B,Barn Quilt Painting,NA,5,Very satisfied,NA,3,3,5,More painting and drawing,NA,This class require required hairdryers. It would've been nice if the hairdryers were set up in a separate room to keep the noise level down in the main classroom,This instructor is so accommodating! It is a class for any skill level.,"Allerton's website, Allerton's Facebook page",2,White,No,Woman,65+,Monticello
234587_0001,234587,B,Basket Weaving,NA,5,Very satisfied,"Bonnie was a great teacher, prepared, professional and the class was fun. I really enjoyed the project and the time frame was convenient and adequate.",3,3,5,NA,NA,"I was 100% satisfied, can't think of anything that would make it better.",(see above),"Allerton's website, Allerton's enewsletter, From a friend",3,White,No,Woman,35-64,Champaign
234587_0004,234587,B,Basket Weaving,NA,5,Very satisfied,Bonnie is a great teacher,3,3,5,CraftsArtCooking,NA,NA,"I wish I lived closer! What a beautiful place with wonderful people. I had such a great experience, can't wait to come back.",From a friend,1,White,No,Woman,35-64,Joliet
234587_0008,234587,B,Knitting,NA,5,Very satisfied,This instructor was one of the best (if not the best) I've had of all the classes I've taken at Allerton. She took time to explain and show all the concepts in a clear and concise manner. No question was too small. She took time to reach out and ask if we needed more help and made herself available for all questions.,NA,3,5,I'd like to see a next level knitting class--making perhaps a hat or booties.,NA,NA,Allerton is a treasure on the prairie. The chance to try new things in a creative environment is so much fun.,"Allerton's website, Allerton's enewsletter, Allerton's Facebook page",3,White,No,Woman,65+,Decatur
234587_0009,234587,B,Knitting,NA,5,Very satisfied,NA,3,3,5,I'm ready for more knitting classes!!!!,NA,Proximity to the bathrooms!,I've always wanted to learn to knit but being left handed I was always told that it would be impossible. Billie is so positive and such a fantastic teacher that now I'm knitting!!!! And I can't wait to learn more! Thanks so much!,Allerton's Facebook page,1,White,No,Woman,65+,Monticello
234587_0011,234587,B,Spinning Yarn,NA,5,Very satisfied,NA,3,3,5,NA,NA,NA,"I have a greater appreciation for hand-spun yarn! I did not expect it to be so challenging. I am really glad I took this course, and I may try it again in the future, but I will never cringe again when spending money on quality yarn, like the alpaca wool we used for this class.","Allerton's website, Allerton's enewsletter, Allerton's Facebook page",3,White,No,Woman,35-64,Monticello
234587_0014,234587,B,Barn Quilt Painting,NA,5,Very satisfied,NA,3,3,5,Pottery! I'm going to sign up for the cookie decorating and another barn quilting class.,NA,NA,"I brought my daughter, she's 18, we've never taken a class like this together. We had the best time.",Other,1,White,No,Woman,35-64,Fisher
234587_0015,234587,B,Barn Quilt Painting,NA,5,Very satisfied,NA,3,3,5,"I've already signed up for my next class, in April!",NA,NA,"It was a tremendous experience to not only learn the history of barn quilts from Jane Cade, but also to explore making my own. It was therapeutic for the mind, body, and soul. I'll definitely be back! I haven't been to Allerton Park for possibly 30 years and Jane was my teacher in Jr. High 28 years ago. A wonderful reunion, all around.","From a friend, Other",2,White,No,Man,35-64,Bloomington
234587_0018,234587,B,Sourdough Breadmaking,NA,5,Very satisfied,NA,3,3,5,More cooking/baking classes; repeat Advanced Watercolors for those of us who were unable to take it this spring,NA,Would not change a thing for this class - it was perfect,"Hannah Fink was fantastic! She was very knowledgeable and passionate about her topic and made it come alive. Best cooking class I ever took anywhere - we each had our own workstations and materials, and her preparation, enthusiasm and guidance were terrific. I would take any class she taught.","Allerton's website, U of I's eweek",2,White,No,Woman,65+,Champaign
234587_0023,234587,B,Scone Baking,NA,5,Very satisfied,NA,3,3,5,More baking and cooking and other skills,NA,None!,"She was a great teacher! I loved how all the ingredients were pre-measured and she was able to instruct us through more complicated steps with vivid descriptions, like that the dough should feel like pebbly sand or to take your hand like a claw and scoop. She was very patient and incredibly helpful in helping us reshape our dough as well.",From a friend,1,White,No,Woman,18-34,Mahomet
234587_0024,234587,B,Scone Baking,NA,5,Very satisfied,NA,3,3,5,candle making perhaps,NA,NA,My scones were so delicious! It was great to get to make both a sweet and a savory version.,Allerton's enewsletter,1,White,No,Woman,35-64,Monticello
234587_0025,234587,B,Scone Baking,NA,5,Very satisfied,NA,3,3,5,candle making perhaps,NA,NA,My scones were so delicious! It was great to get to make both a sweet and a savory version.,Allerton's enewsletter,1,White,No,Woman,35-64,Monticello
234587_0029,234587,B,Intro to Birding,NA,5,Very satisfied,NA,3,3,5,NA,NA,NA,What a fun and rewarding experience! Nate made sure we all experienced the best nature had to offer. I'm always impressed by the Allerton staff's professionalism and comprehensive knowledge of their subjects! Mr. Beccue was great at questions regarding all aspects of the Allerton environment. He could respond in depth to both beginners and experienced professionals. Can't wait for more opportunities to experience this jewel of a park!,"Allerton's website, Allerton's enewsletter, From a friend",3,White,No,Woman,65+,Monticello
234587_0032,234587,B,Beginning Watercolor,NA,5,Very satisfied,NA,3,3,5,"A continuation of the water color course would be great, the teacher was fantastic!",NA,"It was a bit tough not having a sink for a watercolor class, but we made due.",I had never done watercolor before and learned so much in these four classes. It has opened up a new world to explore.,Allerton's enewsletter,1,White,No,Woman,65+,NA
234587_0035,234587,B,Beginning Watercolor,NA,5,Very satisfied,NA,3,3,5,NA,NA,NA,Sally did a great job. Enjoyed her class very much.!,Allerton's enewsletter,1,White,No,Woman,65+,Decatur
234587_0036,234587,B,Beginning Watercolor,NA,5,Very satisfied,NA,3,3,5,More water color!,NA,NA,"Absolutely loved the 4-week watercolor course. Sally, the instructor, was very knowledgeable and helpful. This sparked a hobby that I now feel capable of continuing on my own time.",Allerton's enewsletter,1,White,No,Woman,18-34,Monticello
234587_0038,234587,B,Beginning Watercolor,NA,5,Very satisfied,NA,3,3,5,Sourdough breadWatercolor landscapesSoap making (already signed up for the demo)Pottery wheel throwingCooking with spicesHealthy cooking classes,NA,"Yes,1) better overhead lighting for art, had difficulty seeing the water on the paper in the watercolor class2) water/sink in the classroom","Sally was an amazing teacher in the watercolor class. She was patient, very knowledgeable and willing to help when needing extra support with the skills taught. I'm looking forward to taking more classes with her","Allerton's website, Allerton's enewsletter, Allerton's Facebook page",3,White,No,Woman,65+,Tolono
234587_0040,234587,B,Scone Baking,NA,5,Very satisfied,NA,3,3,5,NA,NA,NA,It was a magical experience to actually spend time in the Allerton Mansion as well as learn how to make something I have always wanted to. As someone who grew up locally before the mansion was open to the public as well as always wanting to learn how to make scones... I was thrilled with the whole event!,"Allerton's website, Allerton's enewsletter",2,White,No,Woman,65+,Champaign
234587_0044,234587,B,Beginning Watercolor,NA,5,Very satisfied,NA,3,3,5,Beginning sketching or drawing,NA,NA,"Sally Walsh was excited about watercolors and transferred that to the students. She gave us all good ideas, tips and encouragement, from the beginners to the advanced students. Thank you!",From a friend,1,White,No,Woman,65+,Decatur
234587_0045,234587,B,Beginning Watercolor,NA,5,Very satisfied,NA,3,3,5,More watercolor courses by Sally Walsh. I'd like to take the beginner again and the next class. She was such a great teacher. I would also like a class on sketching and painting with other paints.,NA,Would have been nice to have water in the building for our watercolors but it was fine.,Sally Walsh was an awesome teacher! She is so positive and encouraging. She explains things and makes it easy to understand.,"Allerton's enewsletter, Allerton's Facebook page",2,White,NA,Woman,65+,Decatur
234587_0047,234587,B,Wines of the World,NA,5,Very satisfied,NA,3,3,5,"More weekend classes, painting classes, or two day classes. I would like any kind of painting, or glass art, or pottery type classes.",NA,Maybe more food options while you are staying there.,All of the people who work at Allerton are very friendly and accommodating . The historic mansion is very interesting. I mostly like that we can take classes and stay on the property the entire time.,From a friend,1,White,No,Woman,35-64,Batavia
234587_0061,234587,B,Pastel Painting,NA,5,Very satisfied,NA,3,3,5,"Maybe some plein air ""open studios"" in the gardens w instructor for questions. More pastels workshops. Colored pencil. Oil pastels. Oil painting. Knitting group? Crochet group?",NA,1. Make sure it is clear upfront whether class supplies will be needed and when a list will be provided if so. It's a peace of mind thing. Good to know what to expect.2. Allerton classes tend to be very pricey compared to other places. Any way to decrease cost?3. I prefer to attend winter workshops during daylight hours. I do consider possible weather/road conditions when deciding if I will sign up for a class. No refunds means winter classes are iffier.,Mandy was a wealth of information about pastels! She provided many types of professional pastels for our working palettes to test during class. And she brought lots of pastel papers for us to touch. She gave useful feedback and answered so many questions. I left excited to continue my journey with pastels!,Allerton's website,1,White,No,Woman,35-64,Champaign
234587_0065,234587,B,Beginning Watercolor,NA,5,Very satisfied,Sally was a wonderful instructor. She made us feel at ease and gave helpful one on one feedback.,3,3,5,DulcimerMore Watercolor paintingNature DrawingQuilting TechniquesWild plant identification,NA,Everything was well organized and done.,"Taking a class at The Farms was a relaxing experience. It was nice to schedule some personal time to indulge in making art. The instructor was wonderful, and I came away with a new relaxing hobby!","Allerton's website, Allerton's enewsletter, Allerton's Facebook page",3,White,No,Woman,35-64,Mahomet
234587_0066,234587,B,Beginner Mountain Dulcimer,NA,5,Very satisfied,NA,3,3,5,I would like to see the Beginner Mountain Dulcimer offered again plus an intermediate/advanced Mountain Dulcimer. Maybe offer one in the spring and the other in the fall.,NA,NA,"Lou Ann is a very down to earth lady with a great wealth of knowledge and eager to share and teach others about the Mountain Dulcimer.She goes beyond just instructing you as she keeps you involved with hands on learning.This class is for the beginner with limited or no music theory knowledge, which fit me. I highly recommend Lou Ann and the Mountain Dulcimer lessons.",Other,1,Prefer not to respond,Prefer not to respond,Man,65+,Lincoln
234587_0068,234587,B,Wines of the World,NA,5,Very satisfied,NA,3,NA,5,Pottery,NA,"No, thank you","Mike was great! So knowledgeable, but took the time to make all the fancy wine jargon accessible.","Allerton's website, Allerton's enewsletter, Allerton's Facebook page",3,White,No,Woman,35-64,Urbana
234587_0076,234587,B,NA,NA,5,Very satisfied,NA,3,3,5,NA,NA,NA,"The instructor was terrific. Very informative, well prepared and organized, and easy to follow. I especially liked how relatable she was - I felt like I was hanging out with a friend. And the finished product we took home was delish! I enjoyed her class so much I have signed up for two more she is teaching.","Allerton's website, U of I's eweek",2,NA,NA,NA,NA,NA
234587_0082,234587,B,Foraging Walk,NA,5,Very satisfied,NA,3,3,5,Outdoor classes like these and ones related to animals are great! It's wonderful to learn more about the world around us.,NA,NA,It's inspiring to learn more about the world around us!,"Allerton's website, Allerton's enewsletter, Allerton's Facebook page",3,White,No,Man,18-34,NA
234587_0087,234587,B,Needle Felting,NA,5,Very satisfied,NA,2,3,5,NA,NA,NA,Love the variety of classes offered at The Farms.,Allerton's Facebook page,1,White,No,Woman,65+,Monticello
234587_0103,234587,B,Beginning Watercolor,NA,5,Very satisfied,NA,3,3,5,"I'd love to learn more watercolor techniques, as well as basket weaving, and woodworking.",NA,She did great! It was such a fun experience. Maybe different tables next time.,I had a great time learning watercolor techniques from Emily! Now I can remember how beautiful the bluebells are all year long!,Allerton's Facebook page,1,White,No,Woman,18-34,Monticello
234587_0111,234587,B,Foraging Walk,NA,5,Very satisfied,NA,3,3,5,NA,NA,NA,"I highly enjoyed 5/11/25's Foraging Walk. Michael was a fantastic, funny, engaging and knowledgeable guide. Can't recommend it enough!",Allerton's website,1,White,No,Man,35-64,Chicago
234587_0112,234587,B,Foraging Walk,NA,5,Very satisfied,The teacher Mike was fantastic. He was very enthusiastic and was really passionate about this.,3,3,5,NA,NA,as a volunteer it would be nice to get a discount for a couple of classes per year,The instructor for the Foraging Walk- Michael Baker- was wonderful. He was so passionate about the plants that he was showing us and really knew his stuff!! He was humorous and very engaging with the group.,Allerton's enewsletter,1,White,No,Woman,65+,Piatt
234587_0116,234587,B,Barn Quilt Painting,NA,5,Very satisfied,NA,2,3,5,NA,NA,NA,"I had an enjoyable Saturday morning painting a barn quilt to add to my shed. I had thought about buying one, but this was so much more fun!","Allerton's website, Allerton's Facebook page, From a friend",3,White,No,Woman,35-64,Monticello
234587_0118,234587,B,Beginning Weaving II,NA,5,Very satisfied,NA,3,3,5,More advanced weaving and water color.,NA,The weaving space needs more room and better storage,"Allerton Park and mansion are a little pice of heaven! The classes offered at the Farms are wonderful experiences for learning, making friends, and relaxing.","Allerton's website, Allerton's enewsletter, Allerton's Facebook page, Radio – WILL 580 AM/90.9 FM",4,White,No,Woman,65+,Urbana
234587_0122,234587,B,Foraging Walk,NA,5,Very satisfied,NA,3,3,5,"I would like to take intermediate and expert level foraging classes eventually, as well as foraging for mushrooms.",NA,"I don't know how possible this is but if Allerton could plant more plants for the purposes of foraging classes, that would help increase the variety of plants the instructor is able to teach about.",What a great class! I highly recommend it to anyone interested in foraging but is unsure where to start.,"U of I's eweek, Other",2,"Asian, White",No,Genderqueer,18-34,Champaign
234587_0123,234587,B,Foraging Walk,NA,5,Very satisfied,I learned so many interesting facts and plant identifiers!,3,3,5,NA,NA,NA,An amazing and eye-opening foraging class at @allertonpark with @edible_illinois! Learned so much about what's safe to snack on and what to steer clear of while exploring the wilds of Illinois. Michael had a great energy and wealth of knowledge. Highlights for me: the fragrant sassafras and beautiful wisteria! 🌿🍃💜,"Allerton's enewsletter, From a friend",2,NA,NA,NA,NA,NA
234587_0129,234587,B,Mammals of Illinois,NA,5,Very satisfied,NA,3,3,5,Natural history and environmental sciences,NA,Na,Dr Harry was amazing and super engaging.,"Allerton's website, Allerton's enewsletter, U of I's eweek",3,White,No,Woman,18-34,Champaign
234587_0138,234587,B,Beginning Watercolor,NA,5,Very satisfied,NA,3,3,5,"more advanced watercolor classes, as well as writing classes would be of interest to me.",NA,"No, the class and instructor were great! I learned a lot, and I really appreciated the focus on fundamental skills. I also really liked the studio space, it was set up very well for classes.","This was a great class! The instructor was very knowledgable and great at teaching the basics, but also checking in with each student on their individual needs.","Allerton's website, Allerton's enewsletter, Allerton's Facebook page",3,White,No,Woman,35-64,Champaign
234587_0139,234587,B,Beginning Watercolor,NA,5,Very satisfied,NA,3,3,5,Sketching,NA,No everything was great,I feel as if I learned so much about painting with watercolors. How to mix paint to get the needed color was so helpful. I have a lot more to learn.,Allerton's website,1,White,No,Woman,35-64,Danv E
234587_0141,234587,B,Beginning Watercolor,NA,5,Very satisfied,NA,3,3,5,Watercolor continued,NA,NA,So enjoyable and learned so much. Wasn't ready for it to be over. Deb was a great instructor. She gave us skills that we can practice on our own. I hope they offer another session next year that builds on this!,Other,1,White,No,Woman,65+,Clinton
234587_0143,234587,B,Cheese & Mozzarella Making,NA,5,Very satisfied,NA,3,3,5,NA,NA,NA,As typical Allerton brought in an expert to teach this class. Learning is always fun there.,"Allerton's website, Allerton's enewsletter",2,White,No,Man,65+,Sangamon
234587_0152,234587,B,Needle Felting,NA,5,Very satisfied,NA,3,3,5,I really enjoyed the needle felting. I would love to try it out more with different animals. I also really enjoy the watercolor classes with Emily I took in the past. I want to take the mountain dulcimer class in the future. I would really love it if I could learn about traditional Irish or bluegrass music.,NA,None! It was great!,I really enjoyed learning Needle Felting. I was surprised at how much I learned and enjoyed making my creation!,"Allerton's website, Allerton's Facebook page, U of I's eweek",3,White,No,Woman,18-34,Monticello
234587_0155,234587,B,MELT with Mary,NA,5,Very satisfied,"Instructor was very welcoming, engaging and entertaining",3,3,5,Ti chi,NA,A larger space for physical activities would be helpful. One note: I happened to have a unique perspective laying right next to the Studio front doors on my yoga mat and there is a noticeable gap under the doors with no weather stripping. A fellow student had told me classes held there in cold weather were freezing so I thought this might help with heating efficiency and costs.,"Wonderful experience. Mary has extensive knowledge of how the muscles and fascia work and her energy is contagious. It was very restorative, as well as fun, to work on the stretches, and include a break to walk around the park and chat with other participants.","Allerton's website, U of I's eweek",2,White,No,Woman,Prefer not to respond,Champaign
234587_0158,234587,B,Improve Your Improv,NA,5,Very satisfied,NA,3,3,5,Poetry Writing Workshop,NA,NA,The Farms at Allerton is a precious resource in our community!,U of I's eweek,1,White,No,Woman,35-64,Piatt
234587_0160,234587,B,MELT with Mary,NA,5,Very satisfied,signed up for Aug. class--so much fun--would love a wellness weekend retreat--do you have one planned?,3,3,5,"would love a wellness weekend with variety of stretching, yoga, meld, meditation, etc",NA,love when its an overnight and can stay at property,"The meld class with Mary was fun, functional and taught me new ways to increase flexibility in hands and feet. Terrific class!!","Allerton's website, U of I's eweek, Other",3,White,No,Woman,65+,NA
