respondent_id,source_file,survey_version,course_name,attendance_date,satisfaction_rating,satisfaction_label,satisfaction_comment,learning_rating,recommend_rating,instructor_rating,additional_learning,course_suggestions,general_suggestions,testimonial,marketing_channels,marketing_channel_count,race_ethnicity,hispanic_latino,gender_identity,age_group,city_residence
234587_0162,234587,B,Beginning Embroidery,NA,5,Very satisfied,NA,3,3,5,Paper collage.,NA,None. Billie was an amazing instructor,"Billie was fun, patient and knowledgeable. She was not phased by mistakes but saw them as learning. I loved her enthusiasm.",Allerton's Facebook page,1,White,No,Woman,35-64,Urbana
234587_0177,234587,B,Beaded Jewelry,NA,5,Very satisfied,NA,3,3,5,I would love to take a class on the cricket loom. I don't know what else it's called. It's a small loom.,NA,NA,I learned exactly what I was hoping to learn.,"Allerton's website, Allerton's enewsletter",2,White,No,Woman,65+,Bloomington
234587_0185,234587,B,Stained Glass,NA,5,Very satisfied,NA,3,3,5,We enjoy the art classes. I think we might be on the look out for clay/ceramics - I believe you have done these before. We love all of the new activities that have been launched over the past several years. Great work Allerton!,NA,Nope all was great!,The Stained Glass experience was a lot of fun. We learned so much about the process and might even have a new hobby!,Allerton's website,1,White,No,Woman,35-64,Decatur
234587_0191,234587,B,Focaccia Art,NA,5,Very satisfied,The instructor was very hands on and explained as she walked around the room making sure we were accomplishing what we needed to do.,3,3,5,I am trying to get into the watercolor journal class. Please offer it again.,NA,NA,We did not use it but the instructions for Handicap accessible parking were helpful. Good instructions before attending about what to expect.,"Allerton's website, Allerton's enewsletter",2,White,No,Woman,65+,Champaign
234587_0193,234587,B,Basket Weaving,NA,5,Very satisfied,NA,2,3,5,Loom weaving,NA,NA,I'm taking many varied classes. I enjoy the camaraderie within the group and learning new skills with excellent instructors!,"Allerton's website, Allerton's enewsletter",2,White,No,Woman,65+,Bloomington
234587_0197,234587,B,Watercolor Travel Journal,NA,5,Very satisfied,NA,3,3,5,I'd be interested in taking more classes taught by Deb Marietta.,NA,NA,Deb has a great method for watercolor instruction that includes demonstrations and hands-on practice. She provides helpful feedback and encouragement for each student. This was hands down the best workshop I've participated in. I'd give it 5 stars.,From a friend,1,White,No,Woman,35-64,Peoria
234587_0199,234587,B,Watercolor Travel Journal,NA,5,Very satisfied,NA,3,3,5,Cooking classes with Leah BodineArt and jewelry classesFabric art quilting,NA,NA,"The teacher, Deb Marett","Allerton's website, Allerton's enewsletter, Allerton's Facebook page, From a friend",4,White,No,Woman,65+,Champaign
234587_0203,234587,B,Flower Arranging,NA,4,Somewhat satisfied,NA,2,2,5,NA,NA,NA,In enjoyed the class but felt the cost did not meet the flowers. The flowers in my opinion were not worth $75,From a friend,1,NA,NA,NA,NA,NA
234587_0206,234587,B,Santorini Stone Painting,NA,4,Somewhat satisfied,"I wish Sara G. Told us the approximate size of the stones - 2"" to 4-5 "" in odd shapes. That way if we had a specific subject , we would know the size to reduce",3,2,5,many classes I might like but they are being held from 6:00 to 8:00 PM. Which is my driving late at night!! Not sure I want to drive by myself. Could some of the classes be available morning or early afternoon. Needle felting cardinal and others,NA,"A problem I had in the stone painting - the lighting was not good after the sun went down wished I had brought a "" desk"" light run by batteries as I did not see any close plug. If it was during the day that wouldn't be a problem",My daughter in law & I enjoyed the class. She used only the materials Sara provided and created a cute little bird. I had a project in mind so I brought my paint colors and brushes I would need. We would do more of her Santorini stones,Other,1,White,No,Woman,65+,St Joseph
234587_0216,234587,B,Beaded Jewelry,NA,1,Very dissatisfied,"The instructor gave us 15 grams of metal clay which is enough for the intended project. And, metal clay is expensive. She had us make a slurry with about 1/2 gram of clay and had us paint the clay onto small leaves. This process is long and tedious as you should paint many layers and dry them in between. During that process, she showed us how to make molds which took 20 minutes to dry in the same oven that we were using. So, we all had to wait. When it came to the torch firing, she had a brand new torch that she didn't know how to fill. At the end of the day, I still have 14 1/2 grams of metal clay and no pendant or earrings. This class was poorly planned and the objectives were not met.",1,2,1,NA,NA,"If the instructor would like to teach a silver metal clay class again, I have experience and would be happy to be an assistant.","Unfortunately, I was very disappointed with the outcome. I spent over $170, expecting to get a pendant and earrings. I was looking forward to learning from a new instructor and making some new jewelry. At this point, I need to work up my 14 1/2 grams of metal clay before it dries out. For me, I have the tools and experience. For the rest of the class, they are left with metal clay that they don't know how to use.","Allerton's website, Allerton's Facebook page",2,White,No,Woman,65+,Monticello
234587_0218,234587,B,Introduction to Astrology,NA,3,Neutral,NA,2,2,3,Medicinal herbs and making something with herbs.,NA,"I have taken other classes like flower arranging and everything was played out very nicely. I think the astrology instructor could have everyone chart done before hand and took it step by step, she was a little all over the place.",I love Allerton and always come early before class so I can walk the grounds.,Allerton's enewsletter,1,White,No,Woman,65+,St Clair
234587_0219,234587,B,Introduction to Astrology,NA,5,Very satisfied,NA,3,3,5,"More Astrology, More Introduction to sewing (last one filled before I could register). Environmental classes.",NA,Just make the directions to where the event is held more clear. It was fine but it could have been better,It was a fun evening,"Allerton's website, Allerton's enewsletter, Radio – WILL 580 AM/90.9 FM, Smile Politely, Chambanamoms.com",5,White,No,Man,35-64,Urbana
234587_0220,234587,B,Historical Dancing,NA,5,Very satisfied,"Even as someone with two left feet, I felt I was able to learn and perform what was being taught. It was a very fun experience.",3,3,5,Anything related to music. Art and history are cool too.,NA,"It's not a huge issue, but if the classes could start a tad later (6:30 instead of 6) it would be easier to fit into a normal workday schedule for people working in Champaign-Urbana.","Overall a great experience. The class was fun, the staff were friendly, and the Allerton property was beautifully maintained and cared for.","From a friend, Smile Politely, Chambanamoms.com",3,White,Yes,Man,18-34,Urbana
234587_0222,234587,B,Foraging Walk,NA,5,Very satisfied,NA,3,3,5,NA,NA,"I belive that day light were to short to do field walks during the course, could be better to do it early in a weekend day or in a time with more day light",The teacher was kind and emotionally smart to engage the students and transmit her knowledge.,From a friend,1,Prefer not to respond,Yes,Man,35-64,Urbana
234587_0224,234587,B,Santorini Stone Painting,NA,5,Very satisfied,NA,2,3,5,Calligraphy. Addresses for envelopes(Christmas cards),NA,The lighting in the conservatory was not good for this type of classs,The Santori stone painting class was unique in that so many different mediums and techniques could be used. It was fun to see so many different pieces.,"Allerton's website, Allerton's Facebook page",2,White,No,Woman,65+,Monticello
234587_0231,234587,B,Make Your Own Incense,NA,5,Very satisfied,NA,3,3,5,.,NA,NA,Would love to do it again. Charlie was wonderful!,U of I's eweek,1,White,No,Woman,35-64,Champaign
234587_0235,234587,B,Knitting,NA,5,Very satisfied,NA,3,3,5,"I would like to see follow-on courses at the next level (intermediate) in knitting, felting, weaving, and tufting.",NA,"The beginner courses are great, I would like to move on to the next level.",I have had such wonderful experiences with all the classes I've taken at Allerton! Billie is among the best instructors. She really does care if you get it and she will work with you until you do! I've taken multiple courses with Billie and she is the same for each one; very engaging and knowledgeable. I just love her!,"Allerton's website, Allerton's enewsletter",2,White,No,Woman,65+,Bloomington
234587_0237,234587,B,Tree Identification,NA,4,Somewhat satisfied,NA,1,2,4,Another flower-arranging session would appeal. The previous one either Rick Orr was splendid.,NA,"The instructor should not get side-tracked by a couple of attendees who think they are on a private tour. I left after 60 minutes in part because we had identified only 3 trees, 2 of which were obvious.",Not applicable.,U of I's eweek,1,White,No,Man,65+,Savoy
234587_0239,234587,B,Meditative Slow Stitching,NA,5,Very satisfied,NA,3,3,5,I am interested in all the fiber crafts! I am also signed up for the embroidery class in November with Billie.,NA,"The space at the Studio was great, and also the time of day. I struggle to participate in workshops that are held on the weekend because of other personal commitments.",Keep on going! The Folk school is amazing!,"Allerton's website, U of I's eweek",2,White,No,Woman,35-64,Urbana
234587_0241,234587,B,Sourdough Breadmaking,NA,5,Very satisfied,NA,NA,3,5,"The sourdough bread class was so great I'd love to take more classes from Hannah Fink, such as baking bread with rye and other wheats. Or take a class that builds from the intro class in some way.",NA,"None. It was a terrific class and experience. I learned so much and it inspired me to explore bread making, wheat, and fermentation. Thanks!","I have taken several classes and this one hand's down the best experience. The instructor knew her stuff, and was passionate about sharing her knowledge with others. The class size was just right so everyone received attention. It was structured to be hands on. It was organized so that we all took a product home. There was even a taste tester that blew my mind. I did not know bread could taste that good. Overall this experience was top notch.",U of I's eweek,1,White,No,Woman,35-64,Urbana
234587_0242,234587,B,Meditative Slow Stitching,NA,5,Very satisfied,NA,3,3,5,"I would love to attend a hand sewing class in which useful stitches for fixing clothes, sewing buttons, etc. A needlepoint class would be fun too. More machine quilting and knitting too!",NA,NA,I am loving all of the different types of classes that Allerton Folk School offers. It is so fun discovering new hobbies as an adult. I have learned so many new skills that I can build on in the future. It has also been meaningful way to meet others with the same interests.,Allerton's Facebook page,1,White,No,Woman,35-64,Monticello
234587_0243,234587,B,Meditative Slow Stitching,NA,5,Very satisfied,NA,3,3,5,Fiber. Clay: hand building. Beading.,NA,It was great. A bit late in the day. Drive back to Normal IL after dark.,The teacherAndLesson plan was amazing and I think the whole class cameTogetherAnd enjoyed it!!,From a friend,1,White,No,Woman,65+,Normal
234587_0246,234587,B,Tufting the Masters,NA,5,Very satisfied,enjoyed it very much! Learned a new skill. Well-paced. Billie is a great teacher.,3,3,5,"I will continue to attend writer's workshop type courses, and many of the handcrafting courses. And maybe some cooking courses. Love it!",NA,It was great. No suggestions.,"I learned a whole new type of needlecrafting, and was coached through the more challenging parts. I left the course confident that I could complete the project that we began at Allerton on my own. Highly recommend!","Allerton's website, Allerton's Facebook page, U of I's eweek, The News-Gazette",4,White,No,Woman,65+,Urbana
234587_0258,234587,B,Beginning Weaving I,NA,3,Neutral,NA,1,2,4,"Longer courses like chair caning or how to work with draft horses, blacksmithing, woodturning, cheesemaking",NA,I have no idea how to finish this project I started in the class. It would be good if the instructor could send us a video how to finish our projects.,I really like meeting the people in the classes.,Allerton's website,1,White,No,Woman,35-64,Champaign
234587_0265,234587,B,Coiled Basket Weaving,NA,5,Very satisfied,NA,3,3,5,NA,NA,A map of class location would be helpful. We were unsure which building to go to.,"Bonnie was a great teacher! So many students were at different skill levels in basket making, and she was able to help everyone at the appropriate times. She was patient with questions and enthusiastic about her craft. I left excited to come back!","Allerton's website, Allerton's enewsletter, Allerton's Facebook page",3,White,No,Woman,35-64,NA
234587_0266,234587,B,Plant-Based Eating,NA,5,Very satisfied,"It was a full 2 hours with lots of information, access to articles after the evening was over, and even food sampling. Karla covered a lot of ground and is very enthusiastic about what foods we eat.",3,3,5,"I would like to be able to learn more about machine quilting on a domestic machine. I was unable to take the class this fall. Any food course, fiber course, plein air painting?",NA,NA,"It was a great evening of learning, sharing, and meeting other like minded people.","Allerton's website, Allerton's Facebook page",2,White,No,Woman,65+,Mattoon
234587_0271,234587,B,Intermediate Watercolor,NA,5,Very satisfied,NA,2,3,5,I like to sample the varied course offerings. I am mostly interested in art.,NA,NA,"The art classes at The Farms are great for artists of all levels. Instrucors have been supportive and the class sizes give a good balance for group and individual instruction. My wife and I have done several classes as well as the art retreat weekend, which we hope to do again.","Allerton's website, Allerton's enewsletter, Allerton's Facebook page",3,White,Yes,Man,65+,Mahomet
234587_0273,234587,B,Intermediate Watercolor,NA,5,Very satisfied,NA,3,2,5,"If I took another class, it would follow this one w/ drawing or painting again. A digital photography class would be helpful too (as I've never figured out all the features of my camera). Thanks",NA,NA,"This is the first class I've taken at the Farms. It was a lovely atmosphere, very comfortable and a smaller class size which I prefer. Because of that you got to meet others easily and our Instructor, Sally Walsh was very encouraging and helpful. She was skilled in her art, but also taught/helped each individual as well as the class as a whole. She went above and beyond to offer assistance before and after class hours. Really enjoyed it and I picked up many tips from the Instructor and other students.",Allerton's enewsletter,1,White,No,Woman,65+,Mt Zion
234587_0277,234587,B,Plant-Based Eating,NA,5,Very satisfied,I enjoyed learning about her story and realized how similar some of it sounds to mine. I loved the validation and small steps to start making changes.,3,3,5,A writing retreat,NA,NA,"I loved learning about plant-based eating and gaining new resources about how to start with small steps to improve my overall health and well-being. Wonderful, inspirational instructor.",Allerton's enewsletter,1,White,No,Woman,35-64,Peoria
234587_0280,234587,B,Beginning Watercolor,NA,5,Very satisfied,NA,3,3,5,Intermediate orAdvanced IntaglioIntermediate Gelatin Printing Intermediate water color,NA,NA,Sally Walsh is a wonderful instructor; she works with each person to bolster technique. Her explanations are clear and detailed. She's a born teacher and a gift to the program at Allerton.,"Allerton's website, Allerton's enewsletter",2,White,No,Woman,65+,Champaign
234587_0281,234587,B,Beginning Watercolor,NA,5,Very satisfied,NA,3,3,5,Paper MacheMore watercolor classesDrawing/art classesPlease make classes available during the day as well as evening classes.,NA,Would have preferred a smaller class size for a beginner class. The instructor did a great job of trying to help each individual but the class was just too big. Very limited desk space for placing your materials.,"Sally Walsh is an excellent instructor.She shared her extensive knowledge of art and painting ,explaining the why of how watercolor works not just saying do this because it's next on the list of things to do. She made it fun.","Allerton's website, Allerton's enewsletter",2,White,No,Woman,65+,DeWitt
234587_0284,234587,B,Food for Thought,NA,4,Somewhat satisfied,"Although I recognize that it's not his expertise per se, I would have liked a few recommendations from the speaker about how to minimize farm toxins for the average consumer (eg. home water filtration systems, etc). Perhaps a lecture of this sort would be a good follow up to this one.",3,3,5,NA,NA,NA,"Retired physical therapist and athletic trainer from Carle Sports Medicine and the UI Dept of Dance. My husband, Don, is retired as the UI volleyball coach and then as faculty with the Dept of Rec, Sports and Tourism","Allerton's website, Allerton's enewsletter, Allerton's Facebook page, U of I's eweek, Smile Politely, Chambanamoms.com",6,White,No,Woman,65+,Champaign
234587_0290,234587,B,Cordage,NA,5,Very satisfied,NA,3,3,5,NA,NA,NA,Cordage was a really interesting and fun hands on workshop. The fall weather was perfect for foraging for materials and the historical context was so interesting.,From a friend,1,White,No,Woman,65+,Urbana
234587_0291,234587,B,Barn Quilt Painting,NA,5,Very satisfied,"Love, love, love the piece I created. Will definitely take another barn quilt class when a different design is offered. Jane did a good job teaching the class and responding to questions.",NA,3,5,I am fairly new to The Allerton website. I am almost positive there are other offerings that I am interested in; just wish I lived closer. My impression is that classes cover a wide variety of subjects and seem to be reasonably priced. Will check the class schedule next spring for anything to do with gardening or fabric quilting.,NA,"Because I live 140 miles away and the class started at 8:00 a.m. I opted to stay overnight the night before the class. The ""Gate House"" needs some TLC. Nothing huge, just little things that need repair, painting, replacing. I realize money is tight...perhaps volunteers or students could take on some minor tasks.",This was my first time at The Allerton. What a beautiful property! I am a tree hugger and love being out experiencing nature. The next time I visit I will schedule more time to walk and explore. A big thank you to a friend who introduced me to this lovely experience.,From a friend,1,White,No,Woman,65+,Naperv E
234587_0300,234587,B,Plant Propagation,NA,5,Very satisfied,"Ryan Pankau is the most engaging, informative and entertaining teacher I've experienced in a long, long time!",3,2,5,NA,NA,NA,"Ryan Pankau is the most engaging, informative and entertaining teacher I've experienced in a long, long time!",Allerton's enewsletter,1,Prefer not to respond,Prefer not to respond,Prefer not to respond,65+,Urbana
234954_0001,234954,B,MELT with Mary,NA,5,Very satisfied,NA,3,3,5,"more of the melt system art courses - watercolor, drawing",NA,no,I attended this MELT session hoping to find some relief from hip pain and it did NOT disappoint! I came away from that class pain free for the first time in years and can't wait to continue using what I learned! Instructor was awesome!,"Allerton's Facebook page, U of I's eweek",2,White,No,Woman,65+,Mahomet
234954_0004,234954,B,Granny Squares Crochet,NA,5,Very satisfied,NA,3,3,5,NA,NA,"Yes, whoever manages the heating system should make sure the room is at a comfortable temperature. Maybe check it a hour before class begins. That's not necessarily the instructors responsibility.","The instructor was very patient and so informative about hand work. She was enthusiastic and loves what she does. That really carries over to instruction if material. She also used different learning techniques which, I think, everyone benefited from. I love that Allerton is doing this!Thank you",Allerton's enewsletter,1,White,No,Woman,65+,NA
234954_0005,234954,B,NA,NA,5,Very satisfied,NA,3,3,5,More cooking classes,NA,NA,"Mary is a wonderful and encouraging instructor who makes the class not only healing, but fun. She meets each student at their individual fitness level and emphasizes self-care and kindness.",Allerton's website,1,White,No,Woman,Prefer not to respond,NA
234954_0008,234954,B,Stained Glass,NA,5,Very satisfied,NA,3,2,5,NA,NA,NA,Kari is a very good teacher. This class is great value for the money.,"Allerton's website, Other",2,White,No,Woman,35-64,Champaign
234954_0010,234954,B,Introduction to Tarot,NA,5,Very satisfied,NA,3,3,5,The ornothology class looks fun. Id like to maybe take a for raging class,NA,NA,My wife and I took the inrto to tarot reading class as a date night. We met some nice people and learned so much. We can't wait to take another class.,"Allerton's website, From a friend",2,White,No,Man,35-64,Mansfield
234954_0020,234954,B,Great Horned Owls,NA,5,Very satisfied,"I understand the speaker has two other courses, I would be interested in both.",3,3,5,"I am more interested in attending programs about nature and the environment than I am about art and music, but am pleased that you offer a wide variety of courses of varied interests.",NA,NA,"Allerton is the perfect venue for learning about art and nature as it blends them both so perfectly, inside the mansion and throughout the landscape.","Allerton's website, Allerton's enewsletter, Allerton's Facebook page",3,White,No,Man,35-64,Urbana
234954_0022,234954,B,Great Horned Owls,NA,5,Very satisfied,NA,3,3,5,NA,NA,NA,"The instructor was professional, extremely knowledgeable, and fun! He had obviously spent time making sure his presentation would appeal to a wide audience. In addition, he provided us with a great bibliography, links and suggestions to other sites on this subject, suggestions for further explorations, and volunteered to personally give us a walk to observe owls next time we were in his area. Loved the videos of the owls at all ages and stages. As in all classes I have taken at the Farms, this was an excellent opportunity to experience personal growth in mind, soul, and body. We're so lucky to have the amazing resource that is Allerton Park. Thanks to those many staff members who make it the great place it is for all the rest of us.","Allerton's website, Allerton's enewsletter, From a friend, Smile Politely",4,White,No,Woman,65+,Monticello
234954_0023,234954,B,Great Horned Owls,NA,5,Very satisfied,NA,1,3,5,I thought it be a great follow up to search for owls in Allerton.,NA,No,I found the stories about Charles and Sarah to be so heartwarming that when I found out Sarah passed Imy eyes started watering. I did not know anything about owls and the approach to learning about them was great.,Allerton's website,1,White,No,Woman,35-64,Urbana
234956_0003,234956,B,Beginning Weaving I,NA,5,Very satisfied,NA,3,3,5,NA,NA,maybe a sign outside the classroom letting people know it was a classroom and to not disturb or try to walk in during instruction would probably be a good thing.,"It felt like everything was in Greek until the third week, and then everything just clicked and I completely understood everything Sharon was talking about. The terminology, reading the patterns, how to setup the loom, everything came together in my head",U of I's eweek,1,White,No,Woman,35-64,Urbana
234956_0005,234956,B,Flower Arranging,NA,5,Very satisfied,NA,2,2,5,Growing herbs along with information on their benefits ways they can be used.,NA,NA,I appreciate the opportunity to share experiences with family members.,Allerton's enewsletter,1,White,No,Woman,65+,Mahomet
234956_0006,234956,B,Bird Walks & Nature Journaling,NA,5,Very satisfied,NA,3,3,5,NA,NA,NA,"I am always amazed by the depth of knowledge, patience, and kindness of ALL the Allerton teachers and staff. I feel fortunate to have learned so much in such a beautiful setting!","Allerton's website, Allerton's enewsletter, From a friend, U of I's eweek, Smile Politely",5,White,No,Woman,65+,Monticello
234956_0008,234956,B,Mary Oliver Poetry,NA,5,Very satisfied,"I was pleased with the instruction, a mix of classroom time and outdoor time. Also enjoyed the sorts of folks who attended.",2,3,5,"Anything centering the BIPOC experience with folk arts, natural skills, etc would be very cool to experience. I recognize that it might be challenging to pull off, but I am a young black woman and would like to see a more diverse set of audiences experience the awesomeness at Allerton!",NA,NA,"I really love the opportunity to learn new and different things at the farm. There's not a lot of places where adults can continue to learn interesting and creative subjects. The Farms is such a beautiful backdrop to the sort of creative learning that makes us better, more well-rounded humans.","Allerton's website, From a friend",2,Black or African American,No,Woman,35-64,Bloomington
234956_0011,234956,B,Holiday Wreath Making,NA,5,Very satisfied,NA,3,3,5,Not sure,NA,"No, your staff dies a great job.",I wasn't sure quite if signing up to attend the wreath making class by myself was going to fun. No worries there. I immediately felt welcome in the class room and even made some new friends. The teacher was very attentive and I learned a lot.,Allerton's website,1,White,No,Woman,35-64,Champaign
234956_0012,234956,B,Wines of the World,NA,5,Very satisfied,NA,3,3,5,"Pottery..Fabric art..sewing, embroidery Crochet",NA,NA,"The instructor was real, easily related to his students. Mr. Lee was able to teach his knowledge with humor and interesting experience.",Allerton's website,1,White,No,Woman,65+,Monticello
234956_0013,234956,B,Earth Magic,NA,5,Very satisfied,NA,3,3,5,NA,NA,NA,"Art, music, gardening, sewing",Allerton's enewsletter,1,White,No,Woman,35-64,Monticello
234956_0015,234956,B,Multiple Courses,NA,5,Very satisfied,NA,3,3,5,"Would love to attend another Wine Pairing Dinner, especially with the Luminary Chefs",NA,NA,"Where else can you learn about such a variety of subjects from experts, all in such a beautiful venue?","Allerton's website, Allerton's enewsletter",2,White,No,Man,65+,Sangamon
